"Scenario","Iteration","N_train","adjustment","y","truth","mean","lower","upper"
"sigmoid",1,200,"location_scale",1.75811247959277e-05,-75.8960474380544,-7.1068525593822,-8.38605630953205,-5.96698800171788
"sigmoid",1,200,"location_scale",0.000217021396009523,-62.443418550703,-6.89183771653403,-8.1016108243763,-5.7339917305757
"sigmoid",1,200,"location_scale",0.000350478634175201,-59.8777504436051,-6.70351757892085,-7.89665488933085,-5.61884761468417
"sigmoid",1,200,"location_scale",0.000405638966200373,-59.0953456644137,-6.49960764681138,-7.59167997293262,-5.48773301220448
"sigmoid",1,200,"location_scale",0.0012948148072197,-52.8822934670313,-6.31850063002345,-7.36677014085585,-5.28989182627815
"sigmoid",1,200,"location_scale",0.00510370098880821,-45.5393396397194,-6.13619123828459,-7.15916754878944,-5.1328582250356
"sigmoid",1,200,"location_scale",0.0101060263989847,-41.8811281575411,-5.94925761930366,-6.9338407908393,-5.00520268678264
"sigmoid",1,200,"location_scale",0.0101855920195199,-41.8391285806372,-5.77999273800942,-6.76091813619631,-4.7889479770984
"sigmoid",1,200,"location_scale",0.0319210884448576,-35.7188049989446,-5.60140919234293,-6.59488185122997,-4.58567020431954
"sigmoid",1,200,"location_scale",0.0643959708366929,-31.9535599648786,-5.43668269570106,-6.4100309853366,-4.45965718133352
"sigmoid",1,200,"location_scale",0.0695176915254361,-31.5425312802577,-5.27229584376459,-6.22926617953286,-4.31290558975672
"sigmoid",1,200,"location_scale",0.113550331857435,-28.9042455905343,-5.11212552372826,-6.07060152810455,-4.141202666136
"sigmoid",1,200,"location_scale",0.247409590237202,-24.6993130555251,-4.95829690962085,-5.88855924508016,-3.99838415552937
"sigmoid",1,200,"location_scale",0.275686651673323,-24.1123629750912,-4.80436434576085,-5.75084294970271,-3.87522961207366
"sigmoid",1,200,"location_scale",0.282482659763339,-23.9801647648387,-4.65737686337946,-5.57057368104402,-3.75828238074096
"sigmoid",1,200,"location_scale",0.28412902916675,-23.9486109108339,-4.50541715961634,-5.42970599252559,-3.57823573301503
"sigmoid",1,200,"location_scale",0.340728334896777,-22.9608427663049,-4.36285219632006,-5.25608312770995,-3.42903833499913
"sigmoid",1,200,"location_scale",0.379402723910713,-22.374804511643,-4.22494809320391,-5.09133603993183,-3.27324874495396
"sigmoid",1,200,"location_scale",0.476574058542848,-21.1276498563803,-4.08534137196636,-4.97542944292678,-3.15296365756525
"sigmoid",1,200,"location_scale",0.701604893124597,-18.9954007789146,-3.95858356105331,-4.82655693487872,-3.04098855124694
"sigmoid",1,200,"location_scale",0.708048312944095,-18.9446781298185,-3.83502515968312,-4.73150249801532,-2.92938966114511
"sigmoid",1,200,"location_scale",0.929830522206854,-17.4241919576785,-3.70536383627981,-4.57470532959174,-2.7958040496731
"sigmoid",1,200,"location_scale",0.978248002268079,-17.138869861193,-3.58240857443643,-4.47665603934808,-2.68948956153317
"sigmoid",1,200,"location_scale",1.00065252595305,-17.0113498722208,-3.46253574119868,-4.34260915589598,-2.6046959776096
"sigmoid",1,200,"location_scale",1.10720312409533,-16.4396208222824,-3.33767580911212,-4.21960755050471,-2.47581064395239
"sigmoid",1,200,"location_scale",1.18716694308026,-16.0436499078739,-3.22717595374661,-4.09924166768801,-2.38544977679218
"sigmoid",1,200,"location_scale",1.3514312699726,-15.3030089925605,-3.11276116473686,-3.97397043208212,-2.31436380527526
"sigmoid",1,200,"location_scale",1.92794519175443,-13.2331059199772,-3.00034291496209,-3.84590661318524,-2.19124246320113
"sigmoid",1,200,"location_scale",2.0370422557623,-12.9060522596595,-2.89195912991385,-3.69395207117207,-2.10284143109894
"sigmoid",1,200,"location_scale",2.64780811886403,-11.3171917079932,-2.78717652675756,-3.59324874991118,-2.00956804872522
"sigmoid",1,200,"location_scale",3.39951445521264,-9.74245656132863,-2.6904131739705,-3.47168653688624,-1.90809315927522
"sigmoid",1,200,"location_scale",3.46807780484492,-9.6134178161936,-2.5824797452269,-3.36706593999699,-1.81196062616074
"sigmoid",1,200,"location_scale",3.91064691520248,-8.82527895329611,-2.47797078471648,-3.27346507864163,-1.74814837585494
"sigmoid",1,200,"location_scale",4.18413868386812,-8.37166665762757,-2.38794521603342,-3.16958452276621,-1.67685987015011
"sigmoid",1,200,"location_scale",4.1927001535401,-8.35782664302721,-2.29901399087076,-3.05312267365837,-1.59528209319055
"sigmoid",1,200,"location_scale",5.24305686228631,-6.793098230052,-2.21118176469869,-2.94637241293959,-1.52776226847838
"sigmoid",1,200,"location_scale",5.61041219921493,-6.29566865428085,-2.12462210193195,-2.84976805324796,-1.48133109778675
"sigmoid",1,200,"location_scale",6.25179165858478,-5.47218770281572,-2.04034099601612,-2.75183436489212,-1.40172880953066
"sigmoid",1,200,"location_scale",6.6324759163895,-5.00547213678687,-1.95992791898886,-2.67724725879051,-1.33677835564456
"sigmoid",1,200,"location_scale",7.24730534041693,-4.27889411595967,-1.88323346738475,-2.59005454496908,-1.27279096855236
"sigmoid",1,200,"location_scale",7.25909196434218,-4.26524601384643,-1.80932167448353,-2.49578591782704,-1.21487662025976
"sigmoid",1,200,"location_scale",9.68937404510288,-1.58659291601476,-1.73303255221896,-2.40738548532248,-1.16043217714681
"sigmoid",1,200,"location_scale",9.77474495215756,-1.49513148372238,-1.66027939943662,-2.32689052953728,-1.10738242316551
"sigmoid",1,200,"location_scale",10.3465943209671,-0.882739356011642,-1.59026433989594,-2.24861607014375,-1.04746509536398
"sigmoid",1,200,"location_scale",12.2220782957405,1.16529781270543,-1.51735740519358,-2.17676232834746,-0.993826449355113
"sigmoid",1,200,"location_scale",12.4683011617523,1.44425551857401,-1.45164234545806,-2.06862509642,-0.948378802276668
"sigmoid",1,200,"location_scale",14.2426818841646,3.59450162258331,-1.38910208644433,-1.99143262605603,-0.902642293559373
"sigmoid",1,200,"location_scale",15.8157672054088,5.86363395093066,-1.33015717870018,-1.91675548747367,-0.850440465561946
"sigmoid",1,200,"location_scale",16.0716242945543,6.28728493448483,-1.2688514438249,-1.82622602805046,-0.798428794702392
"sigmoid",1,200,"location_scale",16.3894955524768,6.84378614911409,-1.21071489996542,-1.75279595614189,-0.755901003796815
"sigmoid",1,200,"location_scale",16.4273068424637,6.91247468972732,-1.1522444463361,-1.68463312333224,-0.705814215920135
"sigmoid",1,200,"location_scale",16.751911443853,7.52708879928144,-1.09351985556712,-1.58489356106277,-0.662145780135644
"sigmoid",1,200,"location_scale",16.96787684344,7.96395045070127,-1.03845747027951,-1.5240158455529,-0.631361799200221
"sigmoid",1,200,"location_scale",17.0057965919443,8.04326424361361,-0.986932634609696,-1.46454143400987,-0.593563799711647
