"Model","RMSE","Mean_CRPS","Median_CRPS","Runtime","Coverage_Q_80","Width_Q_80","Coverage_HPD_80","Width_HPD_80","Coverage_Q_90","Width_Q_90","Coverage_HPD_90","Width_HPD_90","Coverage_Q_95","Width_Q_95","Coverage_HPD_95","Width_HPD_95","Scenario","Iteration","N_train"
"bart",9.79197433618033,31.9460408958113,24.9944537443602,1.10200000000003,0.773,18.6437953593968,0.761,18.3864697607157,0.89,23.9080945981498,0.882,23.6368446285813,0.941,28.4678332740263,0.94,28.1769522248035,"identity",26,200
"bart_bc",22.9193527596638,29.1187954893939,24.7847560976095,2.48200000000003,0.785,58.009849772337,0.717,48.666058004774,0.876,77.840256180584,0.852,67.1208096168758,0.933,97.2244338037807,0.932,85.529596182855,"identity",26,200
"sblm",27.8303759482386,22.2400203634783,20.3252249932064,2.28300000000002,0.82,62.5495646505455,0.803,55.0930444746802,0.898,84.0794368898494,0.883,75.6438891758162,0.946,103.562485058338,0.928,94.9922289676418,"identity",26,200
"sebart",13.6154619449472,28.4210848033643,23.9516583218733,4.601,0.853,38.7021620590376,0.789,33.2117377987366,0.919,48.6300850491311,0.908,44.6826414104839,0.942,56.9471612368341,0.954,53.7334147354266,"identity",27,200
"bart",10.6170828878947,31.2985226890895,24.9092765201918,1.113,0.807,19.4525090366709,0.813,19.214599593786,0.885,24.996600526321,0.886,24.727781146546,0.939,29.7467228710624,0.933,29.4524827233726,"identity",27,200
"bart_bc",21.0491377554602,27.5550301312118,23.6612430397588,2.416,0.827,62.784682750717,0.733,49.8172382055163,0.914,86.3559038807156,0.912,71.9047806445092,0.965,110.743836273132,0.974,95.1129859299597,"identity",27,200
"sblm",30.6706583226905,20.7641827956065,19.5253543339188,2.22499999999997,0.813,61.553508809709,0.79,54.4234273128976,0.898,83.1514914664494,0.882,74.9146972479255,0.944,103.236098479214,0.92,94.5405397167425,"identity",27,200
"sebart",12.6852535730573,28.3262089738515,23.760634706234,4.48700000000002,0.911,42.0790098922706,0.868,37.6535356659145,0.946,53.346043203677,0.942,49.2951224250694,0.972,62.7295742337202,0.965,59.1305093615203,"identity",28,200
"bart",9.42825817854445,31.0478429405978,25.2242463248072,1.11699999999996,0.807,20.2773256347613,0.801,20.0246511852818,0.901,25.9942675973495,0.905,25.7021228592503,0.949,30.882186819136,0.946,30.5752069907451,"identity",28,200
"bart_bc",19.1357822299231,27.1931820801102,23.9638421426546,2.411,0.821,60.0510267511626,0.753,48.8348936116008,0.9,81.7780421023253,0.902,68.9917170383504,0.953,103.60551930064,0.963,89.8326504637398,"identity",28,200
"sblm",28.0160328450572,21.6700306270227,19.9026614798817,2.209,0.841,66.3305318966257,0.828,58.657134344885,0.925,88.3381776736399,0.912,80.0960220717932,0.958,107.185584451132,0.939,99.1170336262784,"identity",28,200
"sebart",16.0842625320577,29.2727004832425,23.8512487204141,4.49599999999998,0.861,45.3692928575278,0.806,38.4640700100104,0.931,57.8349039121804,0.905,52.1894974831206,0.959,68.8173912630377,0.949,63.8244971657323,"identity",29,200
"bart",8.59304753071049,31.5020557740629,24.5420249490259,1.04500000000002,0.85,23.4627078290405,0.836,23.085862781353,0.93,30.0792544652902,0.922,29.6525996763037,0.956,35.6541854228607,0.96,35.2497809621054,"identity",29,200
